Parent Tree number,Cone count,Pollen count,SMP success,Pollen contamination
9465,45,27,,
9116,47,29,,
9524,90,49,,
9532,71,36,,
9536,80,37,,
9550,92,47,,
9551,78,44,,
9559,78,48,,
9562,78,38,,
9578,77,47,,
9583,96,56,,
9586,42,25,,
9590,15,8,,
9591,85,43,,
9592,68,34,,
9593,79,40,,
9594,57,27,,
9595,87,47,,
9598,87,53,,
9601,38,22,,
8021,37,20,,
8044,27,14,,
8168,47,168,,
8174,46,23,,
8185,17,12,,
8187,37,16,,
8206,82,44,,
8847,84,48,,
8875,44,28,,
8876,72,36,,
8946,50,28,,
8948,53,32,,
8955,88,48,,
8964,84,45,,
8965,78,42,,
8968,60,31,,
9094,51,29,,
9474,27,12,,
